,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Team1,Team2,win_target,3_win_target,5_win_target,7_win_target,10_win_target
0,MEM,96,42,90,46.7,2,17,11.8,10,12,83.3,7,40,47,27,11,6,12,18,MEM,DET,True,True,True,True,True
1,DEN,107,41,88,46.6,3,23,13.0,22,32,68.8,12,32,44,22,9,10,4,19,DEN,IND,False,False,False,False,False
2,GSW,84,33,77,42.9,3,20,15.0,15,21,71.4,7,36,43,20,17,9,1,20,GSW,MIN,False,False,False,False,False
3,NOP,84,32,89,36.0,3,32,9.4,17,21,81.0,8,26,34,17,15,4,2,23,NOP,DAL,False,False,False,False,False
4,GSW,79,33,83,39.8,3,17,17.6,10,12,83.3,18,28,46,17,25,11,8,20,GSW,ATL,False,False,False,False,False
5,SAS,114,44,90,48.9,3,17,17.6,23,29,79.3,10,34,44,24,12,4,4,23,SAS,MIN,False,False,False,False,False
6,ORL,94,32,82,39.0,3,22,13.6,27,31,87.1,16,37,53,15,14,5,8,24,ORL,OKC,False,False,False,False,False
7,MEM,100,40,94,42.6,3,25,12.0,17,21,81.0,13,38,51,19,15,13,7,21,MEM,HOU,False,False,False,False,False
8,PHX,87,30,84,35.7,4,20,20.0,23,26,88.5,9,35,44,13,13,7,3,20,PHX,IND,False,False,False,False,False
9,LAC,95,33,78,42.3,4,21,19.0,25,39,64.1,8,37,45,19,14,5,8,20,LAC,ATL,False,False,False,False,False
10,PHX,110,40,87,46.0,4,20,20.0,26,32,81.3,10,30,40,20,12,9,6,19,PHX,ATL,False,False,False,False,False
11,NYK,87,37,95,38.9,4,20,20.0,9,16,56.3,15,32,47,15,16,10,3,20,NYK,LAL,False,False,False,False,False
12,DET,81,30,79,38.0,4,14,28.6,17,23,73.9,10,33,43,14,17,10,5,20,DET,UTA,False,False,False,False,False
13,CLE,94,32,77,41.6,4,20,20.0,26,36,72.2,14,46,60,13,29,9,4,21,CLE,MIN,True,True,True,False,False
14,POR,94,37,91,40.7,4,29,13.8,16,18,88.9,8,40,48,17,11,6,6,17,POR,NOP,False,False,False,False,False
15,SAC,97,39,86,45.3,4,26,15.4,15,19,78.9,7,26,33,26,16,8,2,25,SAC,BKN,False,False,False,False,False
16,CHI,94,37,98,37.8,4,32,12.5,16,18,88.9,11,35,46,21,15,14,5,22,CHI,HOU,False,False,False,False,False
17,IND,112,43,83,51.8,4,15,26.7,22,25,88.0,10,34,44,23,13,6,8,16,IND,DET,True,True,True,False,False
18,LAC,107,39,89,43.8,4,23,17.4,25,30,83.3,13,44,57,20,17,6,12,14,LAC,POR,True,True,True,False,False
19,OKC,99,33,84,39.3,4,27,14.8,29,37,78.4,13,42,55,15,19,8,2,21,OKC,POR,False,False,False,False,False
20,GSW,88,35,96,36.5,5,39,12.8,13,18,72.2,7,27,34,20,7,6,7,14,GSW,BKN,False,False,False,False,False
21,SAS,99,33,78,42.3,5,25,20.0,28,33,84.8,10,33,43,19,14,9,8,22,SAS,PHX,False,False,False,False,False
22,NYK,111,46,100,46.0,5,27,18.5,14,20,70.0,14,32,46,26,13,13,1,16,NYK,NOP,False,False,False,False,False
23,CLE,115,48,91,52.7,5,20,25.0,14,20,70.0,10,29,39,24,15,9,5,18,CLE,DET,True,False,False,False,False
24,GSW,98,34,86,39.5,5,26,19.2,25,32,78.1,10,34,44,19,19,13,4,18,GSW,SAC,False,False,False,False,False
25,ORL,93,37,89,41.6,5,25,20.0,14,24,58.3,11,29,40,22,9,9,6,17,ORL,ATL,False,False,False,False,False
26,OKC,104,40,89,44.9,5,31,16.1,19,31,61.3,10,39,49,19,14,8,4,23,OKC,CHA,True,False,False,False,False
27,CHA,85,28,91,30.8,5,32,15.6,24,35,68.6,17,39,56,18,12,4,5,21,CHA,IND,False,False,False,False,False
28,PHI,89,37,86,43.0,5,26,19.2,10,17,58.8,7,31,38,19,16,9,13,20,PHI,BKN,False,False,False,False,False
29,LAL,101,36,84,42.9,5,31,16.1,24,33,72.7,13,43,56,21,22,14,9,24,LAL,ATL,True,True,False,False,False
30,SAS,109,42,86,48.8,5,16,31.3,20,25,80.0,2,34,36,19,12,11,7,21,SAS,CLE,False,False,False,False,False
31,OKC,139,49,88,55.7,5,18,27.8,36,40,90.0,9,30,39,19,10,8,9,20,OKC,MIN,True,True,True,True,True
32,DEN,95,39,94,41.5,5,30,16.7,12,15,80.0,12,29,41,18,14,5,4,15,DEN,BOS,False,False,False,False,False
33,UTA,94,38,81,46.9,5,22,22.7,13,20,65.0,5,37,42,23,20,6,8,26,UTA,PHI,False,False,False,False,False
34,SAS,101,41,97,42.3,5,29,17.2,14,17,82.4,8,38,46,25,6,4,8,18,SAS,MIN,False,False,False,False,False
35,PHI,97,36,77,46.8,5,26,19.2,20,24,83.3,7,42,49,20,17,8,10,12,PHI,SAC,True,True,True,False,False
36,SAS,116,41,88,46.6,5,18,27.8,29,34,85.3,7,36,43,25,10,8,7,17,SAS,POR,False,False,False,False,False
37,GSW,100,34,82,41.5,5,28,17.9,27,34,79.4,12,43,55,17,20,8,4,19,GSW,BOS,False,False,False,False,False
38,CLE,97,38,86,44.2,5,21,23.8,16,20,80.0,9,36,45,13,14,10,0,13,CLE,PHI,False,False,False,False,False
39,CHA,93,36,85,42.4,5,29,17.2,16,23,69.6,16,32,48,18,13,6,1,15,CHA,GSW,True,True,True,False,False
40,IND,102,39,96,40.6,5,27,18.5,19,21,90.5,13,45,58,20,14,8,10,24,IND,CLE,True,True,True,False,False
41,LAC,103,39,91,42.9,5,26,19.2,20,27,74.1,11,36,47,16,12,9,1,23,LAC,SAS,True,True,True,False,False
