,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
0,UTA,UTA vs. PHX,02/24/2020,,L,24,62,17,33,51.5,6,16,37.5,22,25,88.0,2,12,14,10,7,7,0,12,0
1,MIN,MIN @ DAL,02/24/2020,,L,24,65,22,50,44.0,9,23,39.1,12,14,85.7,4,15,19,7,6,2,2,11,-16
2,WAS,WAS vs. MIL,02/24/2020,,L,24,47,16,43,37.2,4,14,28.6,11,14,78.6,4,15,19,10,8,5,0,11,-10
3,PHX,PHX @ UTA,02/24/2020,,W,24,62,22,37,59.5,4,7,57.1,14,16,87.5,3,12,15,14,8,2,0,14,0
4,HOU,HOU vs. NYK,02/24/2020,,W,24,72,26,43,60.5,11,23,47.8,9,12,75.0,1,16,17,12,7,2,3,11,15
5,BKN,BKN vs. ORL,02/24/2020,,L,24,54,24,47,51.1,6,15,40.0,0,1,0.0,4,23,27,14,6,3,1,10,13
6,NYK,NYK @ HOU,02/24/2020,,L,24,57,19,41,46.3,4,12,33.3,15,16,93.8,3,15,18,12,8,6,3,10,-15
7,CLE,CLE vs. MIA,02/24/2020,,W,24,56,18,47,38.3,7,17,41.2,13,16,81.3,7,18,25,9,6,4,5,8,-12
8,DAL,DAL vs. MIN,02/24/2020,,W,24,81,29,52,55.8,12,23,52.2,11,14,78.6,7,17,24,13,5,3,3,13,16
9,PHI,PHI vs. ATL,02/24/2020,,W,24,69,25,45,55.6,7,17,41.2,12,12,100.0,3,19,22,19,6,8,3,10,17
10,ATL,ATL @ PHI,02/24/2020,,L,24,52,19,47,40.4,4,18,22.2,10,13,76.9,8,16,24,9,11,3,2,13,-17
11,MEM,MEM @ LAC,02/24/2020,,L,24,37,13,41,31.7,1,10,10.0,10,13,76.9,5,16,21,5,10,3,3,9,-29
12,MIA,MIA @ CLE,02/24/2020,,L,24,68,24,48,50.0,12,22,54.5,8,12,66.7,5,21,26,21,6,4,6,8,12
13,LAC,LAC vs. MEM,02/24/2020,,W,24,66,26,49,53.1,5,16,31.3,9,9,100.0,7,21,28,15,6,5,4,10,29
14,MIL,MIL @ WAS,02/24/2020,,W,24,57,20,35,57.1,9,17,52.9,8,11,72.7,2,21,23,9,14,2,1,10,10
15,ORL,ORL @ BKN,02/24/2020,,W,24,41,16,45,35.6,3,18,16.7,6,8,75.0,5,17,22,10,6,3,3,4,-13
16,SAS,SAS @ OKC,02/23/2020,,L,24,55,20,57,35.1,8,20,40.0,7,7,100.0,11,16,27,12,4,3,0,11,-6
17,DET,DET @ POR,02/23/2020,,L,24,51,16,43,37.2,5,16,31.3,14,15,93.3,5,16,21,9,5,6,3,8,-2
18,DEN,DEN vs. MIN,02/23/2020,,W,24,73,30,44,68.2,6,14,42.9,7,9,77.8,3,16,19,13,8,3,4,11,8
19,GSW,GSW vs. NOP,02/23/2020,,L,24,56,21,49,42.9,8,20,40.0,6,9,66.7,8,25,33,15,8,7,5,11,10
20,WAS,WAS @ CHI,02/23/2020,,L,24,58,18,35,51.4,5,13,38.5,17,21,81.0,3,14,17,13,13,6,2,13,-15
21,BOS,BOS @ LAL,02/23/2020,,L,24,54,19,45,42.2,6,21,28.6,10,16,62.5,3,20,23,7,4,5,1,10,-2
22,POR,POR vs. DET,02/23/2020,,W,24,53,21,43,48.8,8,17,47.1,3,5,60.0,3,18,21,10,7,3,3,10,2
23,LAL,LAL vs. BOS,02/23/2020,,W,24,56,22,46,47.8,5,16,31.3,7,11,63.6,6,23,29,11,7,3,1,10,2
24,MIN,MIN @ DEN,02/23/2020,,L,24,65,23,49,46.9,8,22,36.4,11,14,78.6,6,11,17,14,7,5,0,10,-8
25,CHI,CHI vs. WAS,02/23/2020,,W,24,73,26,46,56.5,12,22,54.5,9,16,56.3,7,14,21,17,12,8,2,14,15
26,NOP,NOP @ GSW,02/23/2020,,W,24,46,17,49,34.7,7,21,33.3,5,11,45.5,10,19,29,13,9,3,2,8,-10
27,IND,IND @ TOR,02/23/2020,,L,24,32,11,46,23.9,5,19,26.3,5,8,62.5,6,14,20,9,10,8,2,10,-31
28,TOR,TOR vs. IND,02/23/2020,,W,24,63,24,48,50.0,9,21,42.9,6,7,85.7,6,27,33,18,9,4,2,9,31
29,OKC,OKC vs. SAS,02/23/2020,,W,24,61,24,47,51.1,5,14,35.7,8,9,88.9,4,25,29,12,5,3,6,8,6
30,CHI,CHI vs. PHX,02/22/2020,,L,24,57,19,47,40.4,8,22,36.4,11,12,91.7,7,15,22,9,11,9,4,12,10
31,MIA,MIA vs. CLE,02/22/2020,,W,24,82,30,40,75.0,12,21,57.1,10,14,71.4,2,11,13,23,7,7,1,10,30
32,ATL,ATL vs. DAL,02/22/2020,,W,24,58,21,48,43.8,4,18,22.2,12,14,85.7,3,22,25,16,6,4,2,11,-8
33,MIL,MIL vs. PHI,02/22/2020,,W,24,56,24,46,52.2,7,19,36.8,1,2,50.0,2,21,23,19,8,0,1,11,6
34,DAL,DAL @ ATL,02/22/2020,,L,24,66,25,49,51.0,9,23,39.1,7,10,70.0,4,19,23,12,5,3,4,13,8
35,HOU,HOU @ UTA,02/22/2020,,W,24,62,22,46,47.8,10,22,45.5,8,11,72.7,4,16,20,8,6,4,1,11,-4
36,CHA,CHA vs. BKN,02/22/2020,,L,24,45,15,43,34.9,6,16,37.5,9,14,64.3,6,20,26,9,8,3,0,7,-10
37,PHX,PHX @ CHI,02/22/2020,,W,24,47,17,36,47.2,4,11,36.4,9,10,90.0,3,18,21,13,16,6,0,10,-10
38,UTA,UTA vs. HOU,02/22/2020,,L,24,66,26,46,56.5,5,15,33.3,9,10,90.0,1,20,21,12,5,1,2,7,4
39,PHI,PHI @ MIL,02/22/2020,,L,24,50,17,49,34.7,4,19,21.1,12,14,85.7,7,18,25,8,6,5,2,7,-6
40,BKN,BKN @ CHA,02/22/2020,,W,24,55,20,42,47.6,8,26,30.8,7,10,70.0,2,24,26,12,7,6,5,12,10
41,CLE,CLE @ MIA,02/22/2020,,L,24,52,19,39,48.7,4,11,36.4,10,13,76.9,7,10,17,13,13,2,2,12,-30
42,SAC,SAC @ LAC,02/22/2020,,W,24,54,19,48,39.6,4,17,23.5,12,14,85.7,6,22,28,11,4,7,0,11,6
43,LAC,LAC vs. SAC,02/22/2020,,L,24,48,15,45,33.3,5,14,35.7,13,14,92.9,7,19,26,10,10,3,2,9,-6
44,TOR,TOR vs. PHX,02/21/2020,,W,24,67,25,46,54.3,9,23,39.1,8,8,100.0,3,23,26,15,8,3,8,8,24
45,WAS,WAS vs. CLE,02/21/2020,,L,24,66,25,52,48.1,7,19,36.8,9,11,81.8,8,15,23,15,7,7,2,11,5
46,SAS,SAS @ UTA,02/21/2020,,W,24,65,25,51,49.0,8,14,57.1,7,9,77.8,4,24,28,14,3,6,4,8,19
47,NYK,NYK vs. IND,02/21/2020,,L,24,44,17,40,42.5,3,9,33.3,7,11,63.6,1,18,19,9,8,4,2,9,-7
48,POR,POR vs. NOP,02/21/2020,,L,24,63,21,47,44.7,5,15,33.3,16,18,88.9,6,15,21,11,7,3,3,18,-10
49,DEN,DEN @ OKC,02/21/2020,,L,24,48,16,37,43.2,2,13,15.4,14,15,93.3,5,20,25,8,13,4,3,9,0
50,IND,IND @ NYK,02/21/2020,,W,24,51,19,43,44.2,3,13,23.1,10,13,76.9,6,19,25,9,6,2,3,9,7
51,BOS,BOS @ MIN,02/21/2020,,W,24,61,23,52,44.2,4,14,28.6,11,13,84.6,8,24,32,9,3,4,3,9,8
52,MIN,MIN vs. BOS,02/21/2020,,L,24,53,20,48,41.7,8,22,36.4,5,7,71.4,3,20,23,12,6,2,4,10,-8
53,ORL,ORL vs. DAL,02/21/2020,,L,24,52,20,55,36.4,3,22,13.6,9,11,81.8,8,19,27,8,5,6,1,9,-12
54,PHX,PHX @ TOR,02/21/2020,,L,24,43,18,51,35.3,2,19,10.5,5,5,100.0,7,12,19,14,7,4,3,9,-24
55,MEM,MEM @ LAL,02/21/2020,,L,24,41,15,38,39.5,2,9,22.2,9,17,52.9,3,17,20,10,11,3,1,11,-19
56,OKC,OKC vs. DEN,02/21/2020,,W,24,48,17,47,36.2,4,12,33.3,10,13,76.9,10,15,25,10,8,8,2,10,0
57,DAL,DAL @ ORL,02/21/2020,,W,24,64,23,45,51.1,8,19,42.1,10,13,76.9,3,24,27,12,8,4,3,9,12
58,UTA,UTA vs. SAS,02/21/2020,,L,24,46,19,48,39.6,6,20,30.0,2,4,50.0,5,20,25,15,9,2,3,7,-19
59,NOP,NOP @ POR,02/21/2020,,W,24,73,24,39,61.5,9,14,64.3,16,28,57.1,4,16,20,21,9,4,2,14,10
60,LAL,LAL vs. MEM,02/21/2020,,W,24,60,23,48,47.9,6,18,33.3,8,13,61.5,5,22,27,15,6,6,6,12,19
61,CLE,CLE @ WAS,02/21/2020,,W,24,61,23,44,52.3,6,13,46.2,9,11,81.8,5,16,21,10,12,2,2,11,-5
62,BKN,BKN @ PHI,02/20/2020,,L,24,52,18,46,39.1,7,16,43.8,9,11,81.8,6,16,22,13,10,2,0,10,10
63,SAC,SAC vs. MEM,02/20/2020,,W,24,70,26,46,56.5,11,18,61.1,7,8,87.5,1,14,15,14,5,5,1,9,9
64,ATL,ATL vs. MIA,02/20/2020,,W,24,63,21,42,50.0,7,15,46.7,14,15,93.3,2,19,21,13,8,5,2,15,-1
65,CHI,CHI vs. CHA,02/20/2020,,L,24,44,18,50,36.0,0,15,0.0,8,11,72.7,9,13,22,9,5,5,0,10,-16
66,MEM,MEM @ SAC,02/20/2020,,L,24,61,22,40,55.0,6,12,50.0,11,13,84.6,4,18,22,14,10,2,3,7,-9
67,HOU,HOU @ GSW,02/20/2020,,W,24,72,24,45,53.3,15,26,57.7,9,10,90.0,4,12,16,18,6,5,3,7,22
68,MIA,MIA @ ATL,02/20/2020,,L,24,64,20,47,42.6,6,22,27.3,18,19,94.7,4,18,22,14,6,6,3,14,1
69,GSW,GSW vs. HOU,02/20/2020,,L,24,50,22,43,51.2,1,14,7.1,5,5,100.0,6,15,21,14,13,3,1,7,-22
70,CHA,CHA @ CHI,02/20/2020,,W,24,60,22,42,52.4,4,14,28.6,12,12,100.0,6,20,26,15,7,3,4,7,16
71,PHI,PHI vs. BKN,02/20/2020,,W,24,42,15,36,41.7,3,12,25.0,9,10,90.0,3,14,17,8,9,7,2,10,-10
72,MIL,MIL @ DET,02/20/2020,,W,24,70,26,48,54.2,7,16,43.8,11,16,68.8,3,21,24,15,1,9,2,6,29
73,DET,DET vs. MIL,02/20/2020,,L,24,41,15,41,36.6,5,23,21.7,6,9,66.7,3,20,23,11,11,1,4,11,-29
74,BOS,BOS vs. LAC,02/13/2020,,W,24,60,20,47,42.6,7,20,35.0,13,18,72.2,4,18,22,6,4,4,2,8,2
75,OKC,OKC @ NOP,02/13/2020,,W,24,66,27,51,52.9,7,15,46.7,5,7,71.4,3,18,21,17,4,7,2,14,8
76,LAC,LAC @ BOS,02/13/2020,,L,24,58,21,45,46.7,4,14,28.6,12,13,92.3,2,21,23,10,6,1,5,13,-2
77,NOP,NOP vs. OKC,02/13/2020,,L,24,58,19,40,47.5,5,17,29.4,15,20,75.0,4,19,23,15,11,1,3,9,-8
78,BKN,BKN vs. TOR,02/12/2020,,W,24,52,19,48,39.6,5,19,26.3,9,10,90.0,6,23,29,13,7,6,1,8,12
79,CLE,CLE vs. ATL,02/12/2020,,W,24,65,27,51,52.9,4,13,30.8,7,8,87.5,9,21,30,14,9,3,4,12,17
80,DEN,DEN vs. LAL,02/12/2020,,L,24,55,22,42,52.4,6,13,46.2,5,6,83.3,1,18,19,16,5,3,2,11,-6
81,MIN,MIN vs. CHA,02/12/2020,,L,24,66,23,48,47.9,7,21,33.3,13,13,100.0,5,20,25,16,5,7,2,8,16
82,UTA,UTA vs. MIA,02/12/2020,,W,24,47,18,40,45.0,5,19,26.3,6,7,85.7,2,23,25,13,9,2,3,7,-5
83,DAL,DAL vs. SAC,02/12/2020,,W,24,63,25,46,54.3,8,21,38.1,5,8,62.5,3,24,27,17,6,0,3,6,11
84,ATL,ATL @ CLE,02/12/2020,,L,24,48,17,46,37.0,7,17,41.2,7,10,70.0,7,14,21,12,10,5,2,13,-17
85,CHA,CHA @ MIN,02/12/2020,,W,24,50,21,48,43.8,6,19,31.6,2,5,40.0,6,15,21,14,10,3,0,9,-16
86,ORL,ORL vs. DET,02/12/2020,,W,24,59,23,44,52.3,7,18,38.9,6,6,100.0,2,14,16,19,7,6,3,7,4
87,GSW,GSW @ PHX,02/12/2020,,L,24,50,20,37,54.1,4,15,26.7,6,7,85.7,0,18,18,14,13,3,5,10,-8
88,DET,DET @ ORL,02/12/2020,,L,24,55,20,39,51.3,9,21,42.9,6,7,85.7,3,16,19,13,13,3,5,8,-4
89,MEM,MEM vs. POR,02/12/2020,,W,24,67,27,47,57.4,5,9,55.6,8,14,57.1,6,19,25,17,7,5,5,9,4
90,PHX,PHX vs. GSW,02/12/2020,,W,24,58,23,50,46.0,7,19,36.8,5,5,100.0,3,17,20,14,5,8,0,10,8
91,NYK,NYK vs. WAS,02/12/2020,,L,24,50,20,47,42.6,2,13,15.4,8,12,66.7,9,26,35,11,11,6,2,8,4
92,TOR,TOR @ BKN,02/12/2020,,L,24,40,16,45,35.6,4,18,22.2,4,6,66.7,1,19,20,9,7,4,3,8,-12
