,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win_target,3_win_target,5_win_target,7_win_target,10_win_target
0,LAL,74,31,51,60.8,6,15,40.0,6,10,60.0,7,15,22,21,6,8,4,9,33,True,True,True,True,False
1,MIL,52,20,48,41.7,3,14,21.4,9,13,69.2,5,23,28,12,6,3,7,9,1,True,False,False,False,False
2,MIN,51,16,47,34.0,8,26,30.8,11,13,84.6,4,26,30,11,8,3,6,12,-1,False,False,False,False,False
3,NYK,51,22,51,43.1,4,14,28.6,3,6,50.0,5,23,28,15,5,0,4,12,3,True,True,True,True,True
4,ORL,62,23,51,45.1,8,18,44.4,8,8,100.0,6,16,22,11,4,7,3,11,4,True,True,True,True,True
5,PHX,41,15,39,38.5,2,9,22.2,9,11,81.8,6,11,17,14,12,1,2,11,-33,False,False,False,False,False
6,POR,48,17,47,36.2,6,17,35.3,8,13,61.5,6,21,27,11,5,3,3,4,-3,False,False,False,False,False
7,WAS,58,19,44,43.2,5,15,33.3,15,17,88.2,5,20,25,12,7,3,4,9,-4,False,False,False,False,False
8,BKN,65,23,43,53.5,8,18,44.4,11,13,84.6,9,16,25,18,9,2,0,10,5,False,False,False,False,False
9,CHA,52,18,46,39.1,6,17,35.3,10,13,76.9,5,13,18,13,4,4,0,9,-7,True,False,False,False,False
10,CHI,51,21,44,47.7,5,17,29.4,4,5,80.0,3,22,25,9,5,2,2,7,4,False,False,False,False,False
11,CLE,59,20,39,51.3,9,18,50.0,10,12,83.3,4,23,27,14,10,2,3,11,7,False,False,False,False,False
12,DAL,60,22,46,47.8,8,19,42.1,8,10,80.0,8,11,19,13,7,2,4,12,-5,True,True,True,True,True
13,DEN,62,24,44,54.5,4,13,30.8,10,12,83.3,6,14,20,15,6,6,2,9,-2,True,True,True,True,False
14,DET,63,23,48,47.9,5,17,29.4,12,15,80.0,4,16,20,10,6,6,1,14,-6,False,False,False,False,False
15,GSW,41,15,37,40.5,2,12,16.7,9,14,64.3,3,18,21,12,9,4,1,11,-17,False,False,False,False,False
16,IND,64,24,40,60.0,7,12,58.3,9,12,75.0,3,14,17,17,7,5,2,9,2,False,False,False,False,False
17,LAC,69,25,45,55.6,6,14,42.9,13,16,81.3,5,19,24,15,8,2,7,10,6,True,True,True,True,True
18,MEM,60,21,46,45.7,6,18,33.3,12,12,100.0,4,19,23,16,8,1,0,12,-3,False,False,False,False,False
19,MIA,42,17,41,41.5,6,15,40.0,2,4,50.0,4,23,27,12,9,4,3,6,3,True,True,True,True,False
20,MIN,58,22,49,44.9,7,18,38.9,7,8,87.5,5,18,23,15,5,4,3,12,17,True,True,True,True,True
21,OKC,46,19,45,42.2,4,16,25.0,4,6,66.7,3,16,19,7,3,5,5,6,-9,True,True,True,False,False
22,SAC,63,22,49,44.9,8,19,42.1,11,13,84.6,4,20,24,15,5,4,5,11,3,True,True,False,False,False
23,SAS,55,21,44,47.7,8,16,50.0,5,6,83.3,6,20,26,12,7,0,4,9,9,False,False,False,False,False
24,TOR,39,14,45,31.1,3,22,13.6,8,10,80.0,6,19,25,8,6,3,3,6,-3,False,False,False,False,False
25,UTA,47,17,42,40.5,7,19,36.8,6,10,60.0,5,16,21,10,5,4,2,6,-4,True,True,False,False,False
26,ATL,55,19,44,43.2,10,25,40.0,7,8,87.5,2,18,20,13,7,5,2,14,2,False,False,False,False,False
27,BOS,53,19,48,39.6,3,14,21.4,12,17,70.6,9,22,31,10,7,5,2,9,-2,True,False,False,False,False
28,HOU,60,21,45,46.7,5,16,31.3,13,17,76.5,5,20,25,11,4,2,2,11,7,True,True,True,True,False
29,LAL,74,26,46,56.5,8,12,66.7,14,17,82.4,4,18,22,17,5,6,2,8,12,True,True,True,True,False
30,MIA,44,17,43,39.5,2,17,11.8,8,9,88.9,4,19,23,9,6,3,1,13,-12,False,False,False,False,False
31,NOP,62,26,50,52.0,7,19,36.8,3,4,75.0,3,13,16,14,8,1,6,11,-12,False,False,False,False,False
32,NYK,61,24,50,48.0,5,19,26.3,8,13,61.5,9,21,30,9,7,3,1,13,10,False,False,False,False,False
33,ORL,56,17,45,37.8,7,18,38.9,15,16,93.8,6,20,26,13,5,2,1,6,12,True,True,True,True,True
34,PHI,53,21,47,44.7,2,13,15.4,9,12,75.0,3,19,22,14,4,2,4,11,-7,False,False,False,False,False
35,PHX,51,19,43,44.2,0,9,0.0,13,16,81.3,3,16,19,12,4,2,2,10,-10,True,True,True,True,False
36,POR,66,26,46,56.5,3,11,27.3,11,16,68.8,6,12,18,9,4,3,4,10,8,True,True,True,True,True
37,WAS,58,21,44,47.7,6,16,37.5,10,11,90.9,5,12,17,11,7,3,2,14,-8,False,False,False,False,False
38,ATL,64,22,42,52.4,9,19,47.4,11,12,91.7,3,16,19,12,5,4,1,13,4,True,True,False,False,False
39,BKN,52,19,34,55.9,8,19,42.1,6,8,75.0,4,18,22,15,16,2,8,11,4,False,False,False,False,False
40,BOS,55,22,42,52.4,4,12,33.3,7,8,87.5,8,15,23,12,10,6,2,8,3,True,True,True,False,False
41,CHA,57,23,42,54.8,4,9,44.4,7,8,87.5,7,20,27,14,7,3,1,12,13,True,False,False,False,False
42,CHI,52,16,40,40.0,10,19,52.6,10,14,71.4,6,13,19,12,8,8,4,7,-3,False,False,False,False,False
43,CLE,53,21,45,46.7,5,12,41.7,6,8,75.0,4,17,21,9,4,0,0,13,-13,False,False,False,False,False
44,DAL,44,17,44,38.6,4,22,18.2,6,7,85.7,8,11,19,8,5,1,2,7,-13,False,False,False,False,False
45,DEN,55,20,46,43.5,2,16,12.5,13,15,86.7,2,17,19,7,6,4,1,9,-6,False,False,False,False,False
46,DET,56,22,41,53.7,9,19,47.4,3,3,100.0,4,13,17,13,12,7,3,12,-3,True,True,True,False,False
47,GSW,59,21,44,47.7,8,12,66.7,9,12,75.0,9,14,23,17,8,6,1,7,3,False,False,False,False,False
48,IND,60,20,40,50.0,7,17,41.2,13,14,92.9,4,12,16,14,6,2,1,11,-4,False,False,False,False,False
49,LAC,57,22,46,47.8,4,14,28.6,9,11,81.8,5,22,27,9,10,3,1,10,-8,False,False,False,False,False
50,MEM,65,23,52,44.2,11,26,42.3,8,10,80.0,7,19,26,16,6,7,5,11,8,True,True,True,True,True
51,MIL,71,25,44,56.8,12,23,52.2,9,14,64.3,3,16,19,17,2,3,3,7,5,True,True,True,True,False
52,NOP,52,17,39,43.6,9,21,42.9,9,13,69.2,2,20,22,13,12,7,3,13,4,True,False,False,False,False
53,OKC,66,25,50,50.0,6,13,46.2,10,10,100.0,6,18,24,15,3,3,3,7,13,True,True,True,True,True
54,ORL,47,19,42,45.2,3,16,18.8,6,7,85.7,2,23,25,10,3,2,2,6,-5,False,False,False,False,False
55,SAC,48,15,40,37.5,4,10,40.0,14,20,70.0,6,19,25,6,12,7,0,10,-4,False,False,False,False,False
56,SAS,66,26,46,56.5,8,17,47.1,6,7,85.7,3,18,21,13,4,2,0,8,-5,False,False,False,False,False
57,TOR,48,19,51,37.3,3,13,23.1,7,11,63.6,9,10,19,10,5,4,2,8,-4,True,True,True,True,True
58,UTA,52,21,47,44.7,5,18,27.8,5,8,62.5,6,20,26,9,3,1,1,4,5,True,True,True,True,True
59,WAS,61,23,44,52.3,4,7,57.1,11,14,78.6,5,20,25,12,8,1,4,15,6,True,True,True,True,True
60,CLE,48,18,41,43.9,2,10,20.0,10,12,83.3,5,17,22,5,9,2,2,9,-18,False,False,False,False,False
61,DET,47,14,40,35.0,4,12,33.3,15,15,100.0,4,19,23,9,9,3,5,9,-9,False,False,False,False,False
62,LAC,76,25,42,59.5,10,17,58.8,16,16,100.0,5,14,19,14,11,2,0,10,7,True,False,False,False,False
63,LAL,56,24,46,52.2,5,11,45.5,3,5,60.0,2,18,20,16,6,4,12,10,9,True,True,True,False,False
64,MEM,62,25,45,55.6,11,25,44.0,1,2,50.0,1,19,20,17,6,2,2,9,5,True,True,True,False,False
65,MIA,65,26,43,60.5,9,20,45.0,4,8,50.0,2,21,23,19,3,2,4,10,19,True,True,True,True,True
66,MIN,66,26,51,51.0,9,23,39.1,5,7,71.4,7,16,23,16,6,6,2,10,18,True,True,True,True,True
67,NYK,69,26,45,57.8,8,14,57.1,9,14,64.3,4,11,15,13,9,6,2,13,-7,False,False,False,False,False
68,PHX,57,24,47,51.1,2,12,16.7,7,10,70.0,6,18,24,11,4,2,0,6,-5,False,False,False,False,False
69,POR,46,15,42,35.7,3,14,21.4,13,14,92.9,4,16,20,7,4,2,1,5,-19,False,False,False,False,False
70,ATL,56,19,41,46.3,11,26,42.3,7,10,70.0,2,15,17,15,7,1,3,9,-8,False,False,False,False,False
71,BKN,39,14,47,29.8,6,25,24.0,5,6,83.3,3,18,21,13,7,5,0,7,-13,False,False,False,False,False
