,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
0,MEM,MEM vs. DET,02/03/2020,,W,48,96,42,90,46.7,2,17,11.8,10,12,83.3,7,40,47,27,11,6,12,18,14
1,DEN,DEN vs. IND,01/19/2020,,L,48,107,41,88,46.6,3,23,13.0,22,32,68.8,12,32,44,22,9,10,4,19,-8
2,GSW,GSW @ MIN,01/02/2020,,L,48,84,33,77,42.9,3,20,15.0,15,21,71.4,7,36,43,20,17,9,1,20,-15
3,NOP,NOP @ DAL,12/07/2019,,L,48,84,32,89,36.0,3,32,9.4,17,21,81.0,8,26,34,17,15,4,2,23,-46
4,GSW,GSW @ ATL,12/02/2019,,L,48,79,33,83,39.8,3,17,17.6,10,12,83.3,18,28,46,17,25,11,8,20,-25
5,SAS,SAS @ MIN,11/13/2019,,L,48,114,44,90,48.9,3,17,17.6,23,29,79.3,10,34,44,24,12,4,4,23,-15
6,ORL,ORL @ OKC,11/05/2019,,L,48,94,32,82,39.0,3,22,13.6,27,31,87.1,16,37,53,15,14,5,8,24,-8
7,MEM,MEM vs. HOU,11/04/2019,,L,48,100,40,94,42.6,3,25,12.0,17,21,81.0,13,38,51,19,15,13,7,21,-7
8,PHX,PHX vs. IND,01/22/2020,,L,48,87,30,84,35.7,4,20,20.0,23,26,88.5,9,35,44,13,13,7,3,20,-25
9,LAC,LAC @ ATL,01/22/2020,,L,48,95,33,78,42.3,4,21,19.0,25,39,64.1,8,37,45,19,14,5,8,20,-7
10,PHX,PHX @ ATL,01/14/2020,,L,48,110,40,87,46.0,4,20,20.0,26,32,81.3,10,30,40,20,12,9,6,19,-13
11,NYK,NYK @ LAL,01/07/2020,,L,48,87,37,95,38.9,4,20,20.0,9,16,56.3,15,32,47,15,16,10,3,20,-30
12,DET,DET @ UTA,12/30/2019,,L,48,81,30,79,38.0,4,14,28.6,17,23,73.9,10,33,43,14,17,10,5,20,-23
